hw1;hw2;tw;bf1;tf1;bf2;tf2;psi;L;y_Mcr_u_eq
1000;333;11.61;500;34.47;500;34.47;-0.75;16000;3.229854784
150;600;2.51;450;36;150;8.68;0.5;6000;4.720822082
600;240;4.08;600;21.47;150;8.68;1;9600;3.902709817
450;900;3;225;3.08;450;12.79;1;25200;0.756752519
500;1000;4.19;1000;72.63;750;37.89;-1;40000;2.913330773
400;133;7.2;300;9.63;100;7.2;0.25;2400;4.771058106
350;700;2.33;350;22.84;525;11.05;-0.75;4200;1.842738733
700;700;8.13;525;12.99;525;14.92;-0.25;25200;2.127911343
600;171;4.08;600;28.11;450;19.42;0;18000;3.016724064
300;900;3.77;450;34.34;675;51.51;-0.5;30600;2.503836642
1000;667;6.79;500;19.74;500;12.37;0.5;28000;1.698068734
1000;667;18;250;18;250;18;1;30000;1.030016602
900;360;4.32;900;42.16;225;7.22;-0.75;28800;9.80941065
450;900;4.32;900;25.58;900;18.95;-0.25;34200;2.259540328
233;700;8.13;525;18.79;700;48.26;0.5;25200;1.578093049
267;400;1.92;400;8.42;400;5.47;0.75;15200;1.35057259
300;86;3.48;225;3.48;300;4.11;1;7800;0.762925082
286;1000;4.19;500;28.95;750;24.08;-0.5;14000;1.719385267
900;257;3.34;675;46.54;675;49.03;0.25;30600;1.640925563
400;100;2.72;300;3;200;13.05;0.5;5600;1.061821584
800;533;14.4;600;36.95;400;27.58;0.25;32000;2.347457738
400;267;2.25;200;9.37;200;4.21;-1;15200;2.993039869
700;350;3.94;700;35.37;525;20.72;1;9800;1.651066451
450;900;4.32;675;19.18;675;49.03;0.75;32400;1.17305548
300;300;1.69;300;6.32;150;1.69;0;7800;5.700220906
300;200;2.04;150;7.03;225;14.68;-0.25;9000;1.858959411
120;300;5.4;225;16.34;300;12.95;1;11400;0.972816572
300;150;1.11;225;6.39;300;11.84;0.75;3600;0.65983462
600;150;3.38;150;8.13;300;22.89;0.25;24000;2.203394563
333;1000;6.79;1000;13.68;1000;17.37;1;14000;0.850783416
900;600;16.2;225;16.2;675;46.54;-1;7200;1.015651823
800;400;6.86;400;9.89;400;18.74;0.75;8000;0.863067238
500;250;2.4;250;8.03;500;10.53;1;2000;0.293457738
600;171;5.14;300;16.26;300;6.32;0.25;3600;2.21423011
240;600;2;150;7.58;600;14.84;1;22800;0.974305142
125;500;3.4;500;19.74;500;8.68;-0.5;19000;2.888619973
257;900;3.34;900;45.47;225;17.17;-0.5;28800;5.789664201
200;400;1.92;100;5.05;300;6.32;1;7200;0.329736879
200;400;2.25;200;13.79;400;29.05;1;5600;0.753807681
200;400;1.33;400;8.42;300;14.05;0;13600;1.809181304
360;900;5.06;675;36.59;900;25.58;1;7200;0.794142905
800;800;14.4;800;34.53;400;24.63;-0.25;14400;4.608133372
175;700;3.36;350;26.71;175;8.2;-0.5;15400;5.068964071
500;333;20;125;20;375;20;0;1000;0.317164714
300;300;1;150;3.71;225;17.17;0.75;3600;0.554398063
400;600;2.51;450;6.16;600;10.42;0.5;4800;0.650029026
300;120;3.48;75;3.79;75;5.45;-0.25;3600;2.259002951
600;171;10.8;150;10.8;150;10.8;-0.75;6000;3.117672914
133;400;1.48;100;4.32;300;6.32;0.25;4800;0.436407488
600;150;5.14;450;34.34;150;10.34;-0.25;9600;10.24047846
600;900;3.77;225;9.71;225;18;-0.25;36000;2.113151446
800;800;2.97;800;31.58;800;43.37;-1;28800;2.751747019
1000;333;3.71;750;29.61;750;26.84;0.75;36000;1.235394295
143;500;2.81;125;5.86;500;32.63;1;11000;2.062858552
1000;667;40;500;40;750;46.18;-0.5;22000;1.958808477
114;400;1.67;100;8;200;9.37;1;5600;0.630716712
900;225;10.45;450;24.39;900;52.11;-0.25;30600;2.12716681
800;400;5.43;600;32.53;800;28.63;0.5;16000;1.094434823
900;300;6.11;450;31.03;450;31.03;-0.25;34200;2.31967406
150;300;1.69;150;10.34;75;2.68;-0.25;10200;5.772094548
400;800;14.4;400;14.4;600;39.16;0.75;28800;1.366011693
257;900;3.34;225;10.54;900;12.32;0;10800;0.498683109
600;150;5.14;600;23.68;600;8.21;0.25;9600;2.444256811
600;150;2.88;450;32.68;600;34.74;-1;19200;2.497897086
280;700;2.33;700;45.68;525;26.53;0.75;15400;1.777718764
667;1000;6.79;750;54.47;500;30.79;-1;8000;1.80795519
250;1000;3.33;500;34.47;750;54.47;0.75;38000;1.261704422
600;200;6.97;150;9.24;600;8.21;0.5;9600;0.341957859
250;1000;4.8;250;16.32;250;8.03;-0.25;2000;1.743548707
400;133;16;100;16;100;16;-0.75;10400;2.777513606
1000;1000;40;1000;76.32;750;40;1;10000;1.730095039
600;200;2.88;450;31.03;600;34.74;0.75;6000;0.87669756
700;350;6;350;16.39;525;11.05;1;21000;0.83807387
500;500;4.29;250;9.87;500;28.95;-0.75;4000;0.856086227
333;500;4.29;500;12.37;375;28.62;0.25;17000;1.544406229
400;600;4.08;300;15.16;600;43.58;-0.25;10800;1.760600847
200;600;6.97;300;24;450;16.11;-0.5;4800;1.617431922
800;400;2.97;400;21.68;600;34.74;0.25;4800;0.763616463
1000;250;8.57;250;8.57;750;43.42;-0.5;16000;1.799131761
300;600;6.97;300;11.84;450;7.82;-0.25;2400;1.192163421
800;800;3.35;800;31.58;800;31.58;-0.75;30400;2.859921144
200;700;12.6;350;12.6;175;12.6;-1;4200;1.5490371
267;800;9.29;800;64;400;17.26;-0.75;12800;3.232985316
300;300;1.26;225;9.71;75;1.26;-0.5;10200;7.040517596
200;600;2;450;32.68;300;11.84;0.75;6000;2.402073629
900;300;16.2;450;26.05;450;16.2;0.5;5400;1.568651116
75;300;2.57;150;7.03;75;2.57;0;6000;4.048847423
200;600;4.08;300;21.79;600;10.42;-0.25;15600;1.570360025
200;500;2.81;125;3.09;125;4.47;0.25;7000;1.275922772
175;700;2.6;175;10.78;525;36.2;0.5;14000;2.099729207
400;800;9.29;200;13.79;600;14.84;0.5;16000;0.585491125
286;1000;8.57;250;8.57;1000;68.95;0.5;32000;4.130289119
900;900;36;225;36;675;39.08;-0.5;27000;1.762349341
600;900;7.71;450;24.39;225;12.2;0;16200;4.414781671
280;700;2.6;350;20.26;175;12.07;0.75;8400;2.725083943
600;200;3.38;600;10.42;600;34.74;-0.5;15600;2.285040629
175;700;2.93;175;6.91;350;25.42;-0.5;18200;3.781060742
333;500;4.29;250;8.95;250;17.24;0.75;10000;1.004499049
900;900;16.2;225;16.2;225;17.17;0.5;36000;1.335093618
400;400;1.33;400;29.05;400;14.32;1;8000;1.334803234
700;700;2.93;525;26.53;525;5.25;0.75;12600;1.875509211
286;1000;18;750;37.89;1000;24.74;-1;18000;2.708518159
175;700;12.6;525;16.86;175;12.6;0.5;23800;2.629167414
267;400;3.43;100;3.43;300;21.79;0.75;8800;1.875634294
150;600;2;600;28.11;300;15.16;-0.25;24000;3.495328717
600;900;6.11;675;6.75;450;14.45;-0.75;10800;2.523238683
100;300;1.44;75;2.41;300;6.32;-0.5;10800;3.034548707
600;171;2;450;22.74;300;10.74;0.25;16800;3.294144764
800;229;2.97;400;29.05;400;11.37;-1;11200;2.450953174
900;450;5.06;225;8.88;450;29.37;0.25;27000;1.828352825
200;700;4.75;350;22.84;350;12.53;0.5;18200;1.640132647
500;125;2.09;375;9.28;375;18.95;-0.5;9000;2.509472017
700;280;8.13;350;26.71;700;50.84;0.5;23800;1.54718409
143;500;2.4;500;28.95;500;6.84;1;15000;1.688353831
257;900;3.34;675;11.72;900;28.89;0.5;12600;0.790779164
900;450;7.71;450;16.11;450;36;0.25;32400;1.624748688
500;250;1.86;250;8.03;125;9.54;-1;4000;1.266457119
300;600;2.51;450;11.13;150;7.03;-0.25;9600;4.818871368
600;600;24;150;24;450;24;-1;4800;0.971940936
400;100;2.72;400;18.74;300;24;-0.5;9600;3.500484086
1000;1000;8.57;500;32.63;1000;50.53;1;24000;0.642563823
800;800;32;400;32;600;32;-1;6400;2.038339899
171;600;24;300;24;600;48;1;20400;1.348789427
300;75;12;150;12;300;12;1;11400;0.951671915
100;300;1;300;17.37;300;20.68;-0.75;7200;2.522482482
600;150;10.8;450;31.03;300;19.58;-1;12000;3.149176541
250;500;2.09;375;17.57;375;13.42;-0.5;19000;2.603153488
286;1000;11.61;750;13.03;250;19.08;0.75;24000;1.973654073
1000;1000;3.71;250;11.71;500;30.79;1;24000;0.821912897
150;300;2.04;300;3;225;5.57;-0.5;9000;2.185751782
900;450;16.2;675;46.54;900;72;-0.25;18000;1.851921087
467;700;28;350;28;700;37.95;0.75;9800;0.683016644
333;1000;4.19;750;40.66;500;16.05;-0.5;22000;3.808419152
600;171;10.8;600;25.89;450;22.74;1;9600;1.301762729
900;300;3.77;225;14.68;450;31.03;-0.25;28800;2.097132068
700;467;2.33;700;43.11;525;14.92;1;25200;1.971176871
100;300;5.4;150;10.89;225;5.4;1;3000;0.77282532
600;600;24;450;24;300;24;-1;10800;2.33647804
200;400;2.25;300;10.74;300;15.16;-1;5600;2.456413685
700;350;8.13;175;8.84;350;22.84;-0.25;9800;1.338742204
300;120;2.57;300;16.26;225;8.05;-0.5;10800;4.795626871
225;900;3;450;29.37;225;13.86;1;27000;2.281579936
800;320;6.86;800;22.74;600;43.58;0.5;14400;1.393355144
300;300;1;300;3;225;18;-0.25;8400;1.618359157
500;143;2.4;250;3.42;125;4.47;0.5;4000;2.412157753
700;200;2.6;525;14.92;175;6.91;0.5;15400;4.710385333
400;133;7.2;400;32;300;16.26;0.25;4800;2.869204421
200;300;2.57;75;2.96;225;13.86;-1;10200;4.37531021
600;171;3.38;300;10.74;300;7.42;0.75;12000;1.39678864
700;200;2.33;525;24.59;350;15.11;0;28000;3.37183033
1000;1000;6.79;500;21.58;250;19.08;-0.5;36000;4.385130596
500;333;2.81;375;12.04;375;14.8;0.5;12000;1.265447566
320;800;2.67;400;17.26;200;7.89;0.5;32000;3.116779046
900;900;3.77;225;12.2;675;9.24;0.75;36000;0.436212222
400;133;1.33;200;2;300;10.74;0;12800;1.501661245
200;800;5.43;400;32;400;23.16;0.5;14400;1.471309893
280;700;2.33;700;40.53;350;24.13;-1;5600;1.341833883
400;114;4.65;300;20.68;300;10.74;0;16000;2.491220965
800;229;5.43;400;14.32;600;23.68;-0.75;32000;2.345249601
225;900;10.45;675;29.13;900;68.68;0.25;14400;1.509848363
400;600;3.38;300;5.21;150;3.38;0.5;4800;3.231982812
150;600;2;450;27.71;600;41.37;0.75;9600;1.022299822
1000;500;8.57;750;21.32;500;14.21;0;36000;3.566233989
300;150;1.69;75;3.79;75;2.96;-0.75;5400;3.371501308
700;233;28;700;35.37;350;28;1;21000;1.651652638
360;900;36;675;39.08;450;36;-0.75;34200;2.938810973
700;200;4.75;350;8.66;175;4.97;1;8400;2.393610773
267;400;1.33;200;2;300;16.26;0.75;4800;0.466218536
300;100;12;75;12;300;12.95;1;5400;0.769154471
267;400;2.25;300;10.74;400;24.63;1;8800;0.79793024
133;400;1.67;400;32;200;3.47;0.5;12000;4.45080843
200;700;28;350;28;525;28;-0.5;14000;2.004907856
467;700;3.94;525;28.46;175;3.94;0.75;12600;5.349306533
1000;667;3.71;250;17.24;750;43.42;0.5;4000;0.207488922
500;500;20;250;20;500;20;1;19000;0.802339503
400;267;2.72;200;10.84;200;9.37;0;10400;2.094182435
240;600;2.23;150;9.79;600;25.89;0.75;22800;1.917542066
225;900;3.34;225;14.68;900;25.58;-0.5;19800;2.698575506
1000;500;5.62;750;21.32;500;25.26;0;12000;2.890776184
200;500;2.4;125;7.24;500;21.58;0.75;9000;1.095839403
160;400;3.43;100;5.42;100;5.05;0.5;8000;1.350553031
700;467;2.93;175;2.93;525;12.99;0.5;19600;0.771010765
300;120;1.11;150;10.34;225;17.17;0.75;5400;0.989680572
700;175;3.36;525;24.59;700;17.32;-0.25;26600;2.218842503
250;500;3.4;500;8.68;375;18.95;-0.5;13000;2.173554778
800;200;9.29;800;49.26;800;55.16;-0.25;20800;2.409472251
300;200;1.11;300;20.68;225;15.51;0;11400;2.585772211
300;300;1.11;300;9.63;75;1.86;0;7200;9.678753974
667;1000;40;500;40;500;40;-0.25;22000;2.054153112
